BW    ,SF,PS ,SNR,BER      ,RSSI        ,ToA      ,BER,RSSI,ToA,C0  ,C1  ,C2  ,L
250000,7 ,110,-40,0.0488312,-154.0206002,0.0226302,69 ,6   ,2  ,0.00,0.00,1.00,2
250000,7 ,110,-30,0.0470132,-144.0206002,0.0226302,67 ,28  ,2  ,0.00,0.00,1.00,2
250000,7 ,110,-20,0.0457142,-134.0206002,0.0226302,65 ,49  ,2  ,0.00,0.00,1.00,2
250000,7 ,110,-10,0.0009092,-124.0206002,0.0226302,1  ,71  ,2  ,0.50,0.50,0.00,1
250000,7 ,110,0  ,0.0000002,-114.0206002,0.0226302,0  ,93  ,2  ,0.50,0.50,0.00,1
250000,8 ,10 ,-40,0.0425002,-154.0206002,0.0247812,60 ,6   ,2  ,0.00,0.00,1.00,2
250000,8 ,10 ,-30,0.0550002,-144.0206002,0.0247812,78 ,28  ,2  ,0.00,0.00,1.00,2
250000,8 ,10 ,-20,0.0625002,-134.0206002,0.0247812,89 ,49  ,2  ,0.00,0.00,1.00,2
250000,8 ,10 ,-10,0.0000002,-124.0206002,0.0247812,0  ,71  ,2  ,0.50,0.50,0.00,1
250000,8 ,10 ,0  ,0.0000002,-114.0206002,0.0247812,0  ,93  ,2  ,0.50,0.50,0.00,1
250000,8 ,30 ,-40,0.0466672,-154.0206002,0.0288772,66 ,6   ,2  ,0.00,0.00,1.00,2
250000,8 ,30 ,-30,0.0520832,-144.0206002,0.0288772,74 ,28  ,2  ,0.00,0.00,1.00,2
250000,8 ,30 ,-20,0.0354172,-134.0206002,0.0288772,50 ,49  ,2  ,0.00,0.00,1.00,2
250000,8 ,30 ,-10,0.0000002,-124.0206002,0.0288772,0  ,71  ,2  ,0.50,0.50,0.00,1
250000,8 ,30 ,0  ,0.0000002,-114.0206002,0.0288772,0  ,93  ,2  ,0.50,0.50,0.00,1
250000,8 ,50 ,-40,0.0497502,-154.0206002,0.0288772,71 ,6   ,2  ,0.00,0.00,1.00,2
250000,8 ,50 ,-30,0.0450002,-144.0206002,0.0288772,64 ,28  ,2  ,0.00,0.00,1.00,2
250000,8 ,50 ,-20,0.0412502,-134.0206002,0.0288772,58 ,49  ,2  ,0.00,0.00,1.00,2
250000,8 ,50 ,-10,0.0000002,-124.0206002,0.0288772,0  ,71  ,2  ,0.50,0.50,0.00,1
250000,8 ,50 ,0  ,0.0000002,-114.0206002,0.0288772,0  ,93  ,2  ,0.50,0.50,0.00,1
250000,8 ,70 ,-40,0.0485712,-154.0206002,0.0329732,69 ,6   ,3  ,0.00,0.00,1.00,2
250000,8 ,70 ,-30,0.0464292,-144.0206002,0.0329732,66 ,28  ,3  ,0.00,0.00,1.00,2
250000,8 ,70 ,-20,0.0417862,-134.0206002,0.0329732,59 ,49  ,3  ,0.00,0.00,1.00,2
250000,8 ,70 ,-10,0.0000002,-124.0206002,0.0329732,0  ,71  ,3  ,0.50,0.50,0.00,1
250000,8 ,70 ,0  ,0.0000002,-114.0206002,0.0329732,0  ,93  ,3  ,0.50,0.50,0.00,1
250000,8 ,90 ,-40,0.0501392,-154.0206002,0.0370692,71 ,6   ,3  ,0.00,0.00,1.00,2
250000,8 ,90 ,-30,0.0465282,-144.0206002,0.0370692,66 ,28  ,3  ,0.00,0.00,1.00,2
250000,8 ,90 ,-20,0.0398612,-134.0206002,0.0370692,56 ,49  ,3  ,0.00,0.00,1.00,2
