BW, SF, SNR, PS, BER
20800,7,-20,490,0.0444904
20800,7,-20,560,0.0417864
20800,7,-20,630,0.0460324
20800,7,-20,700,0.0475714
20800,7,-10,70,0.0000004
20800,7,-10,140,0.0028574
20800,7,-10,210,0.0023814
20800,7,-10,280,0.0000004
20800,7,-10,350,0.0020004
20800,7,-10,420,0.0028574
20800,7,-10,490,0.0014294
20800,7,-10,560,0.0014294
20800,7,-10,630,0.0014294
20800,7,-10,700,0.0024294
20800,7,0,70,0.0000004
20800,7,0,140,0.0000004
20800,7,0,210,0.0000004
20800,7,0,280,0.0000004
20800,7,0,350,0.0000004
20800,7,0,420,0.0000004
20800,7,0,490,0.0000004
20800,7,0,560,0.0000004
20800,7,0,630,0.0000004
20800,7,0,700,0.0000004
20800,8,-40,80,0.0462504
20800,8,-40,160,0.0512504
20800,8,-40,240,0.0500004
20800,8,-40,320,0.0515624
20800,8,-40,400,0.0442504
20800,8,-40,480,0.0468754
20800,8,-40,560,0.0539294
20800,8,-40,640,0.0509384
20800,8,-40,720,0.0498614
20800,8,-40,800,0.0483754
20800,8,-30,80,0.0525004
20800,8,-30,160,0.0531254
20800,8,-30,240,0.0512504
20800,8,-30,320,0.0487504
20800,8,-30,400,0.0482504
20800,8,-30,480,0.0493754
20800,8,-30,560,0.0517864
20800,8,-30,640,0.0496884
20800,8,-30,720,0.0504174
20800,8,-30,800,0.0463754
20800,8,-20,80,0.0387504
20800,8,-20,160,0.0412504
20800,8,-20,240,0.0420834
20800,8,-20,320,0.0453124
20800,8,-20,400,0.0485004
20800,8,-20,480,0.0427084
20800,8,-20,560,0.0450004
20800,8,-20,640,0.0415634
20800,8,-20,720,0.0408334
20800,8,-20,800,0.0458754
20800,8,-10,80,0.0000004
20800,8,-10,160,0.0000004
20800,8,-10,240,0.0000004
20800,8,-10,320,0.0000004
20800,8,-10,400,0.0000004
20800,8,-10,480,0.0000004
20800,8,-10,560,0.0000004
20800,8,-10,640,0.0000004
20800,8,-10,720,0.0000004
20800,8,-10,800,0.0000004
20800,8,0,80,0.0000004
20800,8,0,160,0.0000004
20800,8,0,240,0.0000004
20800,8,0,320,0.0000004
20800,8,0,400,0.0000004
20800,8,0,480,0.0000004
20800,8,0,560,0.0000004
20800,8,0,640,0.0000004
20800,8,0,720,0.0000004
20800,8,0,800,0.0000004
20800,9,-40,90,0.0444444
20800,9,-40,180,0.0488894
20800,9,-40,270,0.0470374
20800,9,-40,360,0.0500004
20800,9,-40,450,0.0493334
20800,9,-40,540,0.0529634
20800,9,-40,630,0.0507944
20800,9,-40,720,0.0523614
20800,9,-40,810,0.0492594
20800,9,-40,900,0.0516674
20800,9,-30,90,0.0511114
20800,9,-30,180,0.0466674
20800,9,-30,270,0.0514814
20800,9,-30,360,0.0547224
20800,9,-30,450,0.0471114
20800,9,-30,540,0.0520374
20800,9,-30,630,0.0450794
20800,9,-30,720,0.0495834
20800,9,-30,810,0.0491364
20800,9,-30,900,0.0483334
20800,9,-20,90,0.0477784
20800,9,-20,180,0.0200004
20800,9,-20,270,0.0362964
20800,9,-20,360,0.0322224
20800,9,-20,450,0.0297784
20800,9,-20,540,0.0264814
20800,9,-20,630,0.0249214
20800,9,-20,720,0.0319444
20800,9,-20,810,0.0319754
20800,9,-20,900,0.0321114
20800,9,-10,90,0.0000004
20800,9,-10,180,0.0000004
20800,9,-10,270,0.0000004
20800,9,-10,360,0.0000004
20800,9,-10,450,0.0000004
20800,9,-10,540,0.0000004
20800,9,-10,630,0.0000004
20800,9,-10,720,0.0000004
20800,9,-10,810,0.0000004
20800,9,-10,900,0.0000004
20800,9,0,90,0.0000004
20800,9,0,180,0.0000004
20800,9,0,270,0.0000004
20800,9,0,360,0.0000004
20800,9,0,450,0.0000004
20800,9,0,540,0.0000004
20800,9,0,630,0.0000004
20800,9,0,720,0.0000004
20800,9,0,810,0.0000004
20800,9,0,900,0.0000004
20800,10,-40,100,0.0540004
20800,10,-40,200,0.0445004
20800,10,-40,300,0.0440004
20800,10,-40,400,0.0515004
20800,10,-40,500,0.0536004
20800,10,-40,600,0.0518334
20800,10,-40,700,0.0484294
20800,10,-40,800,0.0498754
20800,10,-40,900,0.0523334
20800,10,-40,1000,0.0470004
20800,10,-30,100,0.0480004
20800,10,-30,200,0.0525004
20800,10,-30,300,0.0520004
20800,10,-30,400,0.0495004
20800,10,-30,500,0.0502004
20800,10,-30,600,0.0505004
20800,10,-30,700,0.0475714
20800,10,-30,800,0.0487504
20800,10,-30,900,0.0462224
20800,10,-30,1000,0.0469004
20800,10,-20,100,0.0140004
20800,10,-20,200,0.0030004
20800,10,-20,300,0.0136674
20800,10,-20,400,0.0115004
20800,10,-20,500,0.0122004
20800,10,-20,600,0.0070004
20800,10,-20,700,0.0125714
20800,10,-20,800,0.0137504
20800,10,-20,900,0.0082224
20800,10,-20,1000,0.0104004
20800,10,-10,100,0.0000004
20800,10,-10,200,0.0000004
20800,10,-10,300,0.0000004
20800,10,-10,400,0.0000004
20800,10,-10,500,0.0000004
20800,10,-10,600,0.0000004
20800,10,-10,700,0.0000004
20800,10,-10,800,0.0000004
20800,10,-10,900,0.0000004
20800,10,-10,1000,0.0000004
20800,10,0,100,0.0000004
20800,10,0,200,0.0000004
20800,10,0,300,0.0000004
20800,10,0,400,0.0000004
20800,10,0,500,0.0000004
20800,10,0,600,0.0000004
20800,10,0,700,0.0000004
20800,10,0,800,0.0000004
20800,10,0,900,0.0000004
20800,10,0,1000,0.0000004
20800,11,-40,110,0.0536364
20800,11,-40,220,0.0490914
20800,11,-40,330,0.0457584
20800,11,-40,440,0.0465914
20800,11,-40,550,0.0498184
20800,11,-40,660,0.0492424
20800,11,-40,770,0.0511694
20800,11,-40,880,0.0490914
20800,11,-40,990,0.0513134
20800,11,-40,1100,0.0509094
20800,11,-30,110,0.0436364
20800,11,-30,220,0.0495454
20800,11,-30,330,0.0445454
20800,11,-30,440,0.0475004
20800,11,-30,550,0.0467274
20800,11,-30,660,0.0468184
20800,11,-30,770,0.0455844
20800,11,-30,880,0.0447734
20800,11,-30,990,0.0458594
20800,11,-30,1100,0.0472734
